rank,name,category,city,phone,website,google_rating,google_review_count,antigravity_score,priority,digital_weakness,business_value,market_position,website_tier,has_https,has_mobile,has_seo,has_email_capture,has_online_arrangements,platform,has_facebook,facebook_active,fb_likes,audit_stage,last_audited
1,Zizelmann Gulla Funeral Home and Cremation Services,funeral_home,Tamaqua,(570) 668-0390,http://www.zrgfuneralhomes.com/,5.0,50,80.5,A — Immediate Target,68,95,90,legacy,False,False,False,False,False,custom_legacy,True,True,1589,enhanced,2026-03-07
2,Mahal-Ritzel Funeral Home Inc.,funeral_home,Minersville,(570) 544-5111,http://www.mahal-ritzel.com/,4.7,3,78.5,A — Immediate Target,88,75,60,legacy,False,False,False,False,False,custom_legacy,False,False,0,enhanced,2026-03-07
3,Nice-Hart Funeral Home Inc,funeral_home,Frackville,(570) 874-0670,http://www.nicehartfuneralhome.com/,5.0,2,78.2,A — Immediate Target,76,72,93,legacy,False,False,False,False,False,custom_legacy,True,True,625,enhanced,2026-03-07
4,Thomas M Sullivan Funeral Home Inc.,funeral_home,Frackville,(570) 874-0540,http://www.thomasmsullivanfuneralhome.com/,5.0,31,78.1,A — Immediate Target,68,85,93,legacy,False,False,False,False,False,custom_legacy,True,True,,enhanced,2026-03-07
5,Richard W Fritz Funeral Home,funeral_home,Ashland,(570) 875-4171,http://www.fritzfuneralhome.com/obituaries/listings.php,4.0,8,77.6,A — Immediate Target,84,70,73,legacy,False,False,False,False,False,custom_legacy,False,False,0,enhanced,2026-03-07
6,Donald J Butler Funeral Home,funeral_home,Minersville,(570) 544-6775,http://www.donaldjbutlerfh.com/,5.0,2,77.6,A — Immediate Target,88,72,60,legacy,False,False,False,False,False,custom_legacy,False,False,0,enhanced,2026-03-07
7,James E Humphrey Funeral Home,funeral_home,Pottsville,(570) 622-1403,http://www.jehumphreyfuneralhome.com/,4.7,12,76.6,A — Immediate Target,72,80,83,legacy,False,False,False,False,False,custom_legacy,True,True,,enhanced,2026-03-07
8,David D Jarrett Funeral Home,funeral_home,Mahanoy City,(570) 773-3801,http://www.jarrettfuneralhome.com/,5.0,4,76.5,A — Immediate Target,88,75,50,legacy,False,False,False,False,False,custom_legacy,False,False,0,enhanced,2026-03-07
9,Christ Church Cemetery,cemetery,Tamaqua,,,,,75.5,A — Immediate Target,96,25,100,not_audited,,,,,,,,,,enhanced,2026-03-07
10,Lewistown Union Cemetery,cemetery,Tamaqua,,,,,75.5,A — Immediate Target,96,25,100,not_audited,,,,,,,,,,enhanced,2026-03-07
11,Saint Jerome's Catholic Cemetery,cemetery,Tamaqua,,,,,75.5,A — Immediate Target,96,25,100,not_audited,,,,,,,,,,enhanced,2026-03-07
12,Saint Johns Lutheran Cemetery,cemetery,Tamaqua,,,,,75.5,A — Immediate Target,96,25,100,not_audited,,,,,,,,,,enhanced,2026-03-07
13,Saint Peter's Cemetery,cemetery,Tamaqua,,,,,75.5,A — Immediate Target,96,25,100,not_audited,,,,,,,,,,enhanced,2026-03-07
14,Saints Peter and Paul RC Lithuanian Cemetery,cemetery,Tamaqua,,,,,75.5,A — Immediate Target,96,25,100,not_audited,,,,,,,,,,enhanced,2026-03-07
15,Zion United Methodist Cemetery,cemetery,Tamaqua,,,,,75.5,A — Immediate Target,96,25,100,not_audited,,,,,,,,,,enhanced,2026-03-07
16,Lord Ebling Haus Funeral Home & Crematory,funeral_home,Pottsville,(570) 622-0230,http://www.lordbixler.com/,5.0,17,74.6,A — Immediate Target,68,80,83,legacy,False,False,False,False,False,custom_legacy,True,True,126,enhanced,2026-03-07
17,First United Methodist Church Cemetery,cemetery,Pottsville,,,,,72.1,A — Immediate Target,96,25,83,not_audited,,,,,,,,,,enhanced,2026-03-07
18,Friends Burying Ground,cemetery,Pottsville,,,,,72.1,A — Immediate Target,96,25,83,not_audited,,,,,,,,,,enhanced,2026-03-07
19,Pine Grove Lion's Den,monument,Pine Grove,,,5.0,1,71.5,A — Immediate Target,89,52,57,not_audited,,,,,,,,,,enhanced,2026-03-07
20,Bruce T Hart Funeral Home,funeral_home,St Clair,(570) 429-0610,http://www.brucethartfuneralhome.com,5.0,1,71.0,A — Immediate Target,76,72,57,legacy,False,False,False,False,False,custom_legacy,True,True,,enhanced,2026-03-07
21,Shenandoah Heights Cemeteries,cemetery,Shenandoah,,,4.9,10,71.0,A — Immediate Target,85,55,60,not_audited,,,,,,,,,,enhanced,2026-03-07
22,Dutcavich Funeral Home,funeral_home,Minersville,(570) 544-3492,http://www.dutcavich.com/,5.0,5,70.5,A — Immediate Target,72,75,60,legacy,False,False,False,False,False,custom_legacy,True,True,604,enhanced,2026-03-07
23,Oravitz Home For Funerals,funeral_home,Shenandoah,(570) 462-9333,http://www.oravitzhomeforfunerals.com/,5.0,3,70.5,A — Immediate Target,76,75,50,legacy,False,False,False,False,False,custom_legacy,True,True,1069,enhanced,2026-03-07
24,"Walukiewicz-Oravitz Fell Funeral Home, Inc.",funeral_home,Shenandoah,(570) 462-0921,http://www.woffuneralhome.com/,5.0,13,70.0,A — Immediate Target,72,80,50,legacy,False,False,False,False,False,custom_legacy,True,True,,enhanced,2026-03-07
25,Veterans Memorial,cemetery,Shenandoah,,,4.6,8,69.5,A — Immediate Target,85,50,60,not_audited,,,,,,,,,,enhanced,2026-03-07
26,Campbell-Fantini Monument Company,monument,Mt Carmel,(570) 373-3741,,5.0,3,69.4,A — Immediate Target,89,55,42,not_audited,,,,,,,,,,enhanced,2026-03-07
27,Frackville Memorial Pool,monument,Frackville,,,4.1,47,68.1,A — Immediate Target,81,60,48,not_audited,,,,,,,,,,enhanced,2026-03-07
28,"Hartman Funeral Home, Inc.",funeral_home,New Ringgold,(570) 386-1122,http://www.hartmanfuneralhomeinc.com/,5.0,1,68.0,A — Immediate Target,76,72,42,legacy,False,False,False,False,False,custom_legacy,True,True,,enhanced,2026-03-07
29,Our Lady of Lourdes Cemetery,cemetery,Shenandoah,,,,,67.5,A — Immediate Target,96,25,60,not_audited,,,,,,,,,,enhanced,2026-03-07
30,"Dimon Funeral Home & Cremation Services, Inc.",funeral_home,Tower City,(717) 647-2741,http://www.dimonfuneralhome.com/,4.9,43,67.4,A — Immediate Target,68,90,32,legacy,False,False,False,False,False,custom_legacy,True,True,108,enhanced,2026-03-07
31,Fantini Monuments,monument,Mt Carmel,(570) 339-2175,,4.6,5,67.4,A — Immediate Target,85,55,42,not_audited,,,,,,,,,,enhanced,2026-03-07
32,Annunciation of the Blessed Virgin Mary Cemetery,cemetery,Frackville,,,,,67.1,A — Immediate Target,96,25,58,not_audited,,,,,,,,,,enhanced,2026-03-07
33,Lithuanian Grand Duke Vytautas Society Cemetery,cemetery,Frackville,,,,,67.1,A — Immediate Target,96,25,58,not_audited,,,,,,,,,,enhanced,2026-03-07
34,Cemetery Road,cemetery,Ashland,,,,,65.1,A — Immediate Target,96,25,48,not_audited,,,,,,,,,,enhanced,2026-03-07
35,Sky-View Memorial Park,cemetery,Tamaqua,(570) 668-4100,http://www.skyviewmemorialpark.com/,4.8,11,65.0,A — Immediate Target,63,55,85,not_audited,,,,,,,,,,enhanced,2026-03-07
36,Stauffer-Breznik Funeral Home,funeral_home,Ringtown,(570) 889-3804,http://www.ringtownfuneral.com/,5.0,20,64.5,B — High Priority,68,85,25,legacy,False,False,False,False,False,custom_legacy,True,True,,enhanced,2026-03-07
37,"Robert S. Nester Funeral Home & Cremation Services, Inc.",funeral_home,New Ringgold,(570) 386-5884,https://www.griffithsfuneralhomes.com/,4.9,7,63.9,B — High Priority,63,80,42,not_audited,,,,,,,,,,enhanced,2026-03-07
38,Louis D. Truskowsky Funeral Home & Crematory INC.,funeral_home,Mahanoy City,(570) 773-2080,http://www.truskowskyfuneralhome.com/,3.7,10,63.5,B — High Priority,65,70,50,not_audited,,,,,,,,,,enhanced,2026-03-07
39,Cmentarz Św. Kazimierza,cemetery,Mahanoy City,,,,,63.5,B — High Priority,96,25,40,not_audited,,,,,,,,,,enhanced,2026-03-07
40,Saint Vincent de Paul Cemetery #1,cemetery,Minersville,,,,,63.5,B — High Priority,96,25,40,not_audited,,,,,,,,,,enhanced,2026-03-07
41,Mothers' Memorial (Whistler's Mother Statue),monument,Ashland,,https://pahistoricpreservation.com/spotlight-series-the-ashland-mothers-memorial/,4.7,20,62.6,B — High Priority,59,65,68,not_audited,,,,,,,,,,enhanced,2026-03-07
42,Sausser Monuments,monument,Ashland,(570) 875-3070,http://saussermonumentspa.com/,5.0,5,61.6,B — High Priority,63,55,68,not_audited,,,,,,,,,,enhanced,2026-03-07
43,Charles Baber Cemetery,cemetery,Pottsville,(570) 622-8720,http://babercemetery.org/baber/,4.5,14,61.6,B — High Priority,63,55,68,not_audited,,,,,,,,,,enhanced,2026-03-07
44,Stonehedge Gardens,monument,Tamaqua,(570) 386-4276,http://www.stonehedge.us/,4.8,71,61.5,B — High Priority,59,70,55,not_audited,,,,,,,,,,enhanced,2026-03-07
