name,category,tier,address,city,zip,phone,email,website,lat,lng,google_rating,google_review_count,business_status,google_maps_url,owner_name,business_structure,chain_affiliation,is_independent,website_quality_score,estimated_annual_cases,estimated_annual_revenue,data_source,last_verified,notes
Ebling Stabingas Funeral Home & Cremation Services,cremation,1,"26 Chestnut St, Cressona, PA 17929, USA",Cressona,17929,(570) 385-3050,,https://www.gsesfuneralhomes.com/cressona-location,40.6296695,-76.1964029,5.0,10,OPERATIONAL,https://maps.google.com/?cid=9999730259106769741,,,,,,,,google_places,2026-03-06,
Cremation Society of Schuylkill County,cremation,1,"19 River St, Schuylkill Haven, PA 17972, USA",Schuylkill Haven,17972,(570) 593-8698,,https://www.schuylkillcountycremation.com/,40.6300713,-76.1727812,5.0,17,OPERATIONAL,https://maps.google.com/?cid=5923198194235222907,,,,,,,,google_places,2026-03-06,
Geschwindt Stabingas Ebling Funeral Home & On-site Crematory,cremation,1,"25 E Main St, Schuylkill Haven, PA 17972, USA",Schuylkill Haven,17972,(570) 385-3381,,https://www.gsesfuneralhomes.com/schuylkill-location,40.629855,-76.1724345,4.9,44,OPERATIONAL,https://maps.google.com/?cid=10398323678753199986,,,,,,,,google_places,2026-03-06,
Kull-Heizenroth Funeral Home,funeral_home,1,"901 Centre St, Ashland, PA 17921, USA",Ashland,17921,(570) 875-1680,,https://www.kullfuneral.com/funeral-home-ashland-pa,40.7824403,-76.3430892,4.6,9,OPERATIONAL,https://maps.google.com/?cid=9499165510414060774,,,,,,,,google_places,2026-03-06,
Richard W Fritz Funeral Home,funeral_home,1,"1323 Centre St, Ashland, PA 17921, USA",Ashland,17921,(570) 875-4171,,http://www.fritzfuneralhome.com/obituaries/listings.php,40.7816786,-76.3475708,4.0,8,OPERATIONAL,https://maps.google.com/?cid=2705244002209794035,,,,,,,,google_places,2026-03-06,
Albert Gricoski Funeral Home,funeral_home,1,"48 N Broad Mountain Ave, Frackville, PA 17931, USA",Frackville,17931,(484) 269-6714,,https://www.markjhummelfuneralhome.com/,40.7869171,-76.2287371,5.0,1,OPERATIONAL,https://maps.google.com/?cid=14106661176172581628,,,,,,,,google_places,2026-03-06,
Mark J Hummel Funeral Home,funeral_home,1,"48 N Broad Mountain Ave, Frackville, PA 17931, USA",Frackville,17931,(570) 874-0197,,https://www.markjhummelfuneralhome.com/,40.786904,-76.228788,5.0,38,OPERATIONAL,https://maps.google.com/?cid=5000277687806838700,,,,,,,,google_places,2026-03-06,
Nice-Hart Funeral Home Inc,funeral_home,1,"9 N Lehigh Ave, Frackville, PA 17931, USA",Frackville,17931,(570) 874-0670,,http://www.nicehartfuneralhome.com/,40.785458,-76.230762,5.0,2,OPERATIONAL,https://maps.google.com/?cid=15610174858349046962,,,,,,,,google_places,2026-03-06,
Thomas M Sullivan Funeral Home Inc.,funeral_home,1,"501 W Washington St, Frackville, PA 17931, USA",Frackville,17931,(570) 874-0540,,http://www.thomasmsullivanfuneralhome.com/,40.7842213,-76.23794450000001,5.0,31,OPERATIONAL,https://maps.google.com/?cid=547525893987990770,,,,,,,,google_places,2026-03-06,
David D Jarrett Funeral Home,funeral_home,1,"201 E Pine St, Mahanoy City, PA 17948, USA",Mahanoy City,17948,(570) 773-3801,,http://www.jarrettfuneralhome.com/,40.8123016,-76.1392204,5.0,4,OPERATIONAL,https://maps.google.com/?cid=270092164906767343,,,,,,,,google_places,2026-03-06,
Louis D. Truskowsky Funeral Home & Crematory INC.,funeral_home,1,"300 W Centre St, Mahanoy City, PA 17948, USA",Mahanoy City,17948,(570) 773-2080,,http://www.truskowskyfuneralhome.com/,40.8119538,-76.14502499999999,3.7,10,OPERATIONAL,https://maps.google.com/?cid=18384878950810312656,,,,,,,,google_places,2026-03-06,
Donald J Butler Funeral Home,funeral_home,1,"328 Sunbury St, Minersville, PA 17954, USA",Minersville,17954,(570) 544-6775,,http://www.donaldjbutlerfh.com/,40.6918964,-76.2629523,5.0,2,OPERATIONAL,https://maps.google.com/?cid=3993500294816414261,,,,,,,,google_places,2026-03-06,
Dutcavich Funeral Home,funeral_home,1,"200 Sunbury St, Minersville, PA 17954, USA",Minersville,17954,(570) 544-3492,,http://www.dutcavich.com/,40.691202,-76.2608468,5.0,5,OPERATIONAL,https://maps.google.com/?cid=962245261525410100,,,,,,,,google_places,2026-03-06,
Mahal-Ritzel Funeral Home Inc.,funeral_home,1,"104 S 4th St #1119, Minersville, PA 17954, USA",Minersville,17954,(570) 544-5111,,http://www.mahal-ritzel.com/,40.6911947,-76.2642789,4.7,3,OPERATIONAL,https://maps.google.com/?cid=3969039519815160125,,,,,,,,google_places,2026-03-06,
"Haus Bartashus Funeral Home & Crematory, Inc.",funeral_home,1,"63 Kimber St, New Philadelphia, PA 17959, USA",New Philadelphia,17959,(570) 277-6941,,https://www.gsesfuneralhomes.com/new-philadelphia-pa-funeral-home,40.7199104,-76.1172043,,,OPERATIONAL,https://maps.google.com/?cid=3985883792341714757,,,,,,,,google_places_supplemental,2026-03-06,
"Hartman Funeral Home, Inc.",funeral_home,1,"1791 W Penn Pike, New Ringgold, PA 17960, USA",New Ringgold,17960,(570) 386-1122,,http://www.hartmanfuneralhomeinc.com/,40.7326161,-75.8774627,5.0,1,OPERATIONAL,https://maps.google.com/?cid=8918752172060075583,,,,,,,,google_places_supplemental,2026-03-06,
"Robert S. Nester Funeral Home & Cremation Services, Inc.",funeral_home,1,"2066 W Penn Pike, New Ringgold, PA 17960, USA",New Ringgold,17960,(570) 386-5884,,https://www.griffithsfuneralhomes.com/,40.7210806,-75.861381,4.9,7,OPERATIONAL,https://maps.google.com/?cid=8710423164097744951,,,,,,,,google_places_supplemental,2026-03-06,
Hamilton-Breiner Funeral Home,funeral_home,1,"116 S Liberty St, Orwigsburg, PA 17961, USA",Orwigsburg,17961,(570) 366-0521,,https://www.orwigsburgfuneral.com/,40.6548162,-76.1024391,5.0,2,OPERATIONAL,https://maps.google.com/?cid=12747916648990958123,,,,,,,,google_places_supplemental,2026-03-06,
H L Snyder Funeral Home Inc,funeral_home,1,"139 S Tulpehocken St, Pine Grove, PA 17963, USA",Pine Grove,17963,(570) 345-2266,,https://www.hlsnyderfuneralhome.com/,40.5492472,-76.3845261,5.0,5,OPERATIONAL,https://maps.google.com/?cid=16397306843314822106,,,,,,,,google_places,2026-03-06,
Robert A Evans Jr Funeral Home,funeral_home,1,"208 Pike St, Port Carbon, PA 17965, USA",Port Carbon,17965,(570) 622-8411,,https://www.robertaevansjrfh.com/,40.6957445,-76.168066,5.0,6,OPERATIONAL,https://maps.google.com/?cid=14906112034069941005,,,,,,,,google_places_supplemental,2026-03-06,
James E Humphrey Funeral Home,funeral_home,1,"1112 W Market St, Pottsville, PA 17901, USA",Pottsville,17901,(570) 622-1403,,http://www.jehumphreyfuneralhome.com/,40.681988,-76.204224,4.7,12,OPERATIONAL,https://maps.google.com/?cid=14964438782917688440,,,,,,,,google_places,2026-03-06,
Lord Ebling Haus Funeral Home & Crematory,funeral_home,1,"1818 Mahantongo St, Pottsville, PA 17901, USA",Pottsville,17901,(570) 622-0230,,http://www.lordbixler.com/,40.6765887,-76.2153421,5.0,17,OPERATIONAL,https://maps.google.com/?cid=12203624263479125429,,,,,,,,google_places,2026-03-06,
Schlitzer Allen Pugh Funeral Home,funeral_home,1,"515 W Market St, Pottsville, PA 17901, USA",Pottsville,17901,(570) 622-7888,,https://www.schlitzerallenpugh.com/,40.683739,-76.19923419999999,5.0,43,OPERATIONAL,https://maps.google.com/?cid=3380526975438223014,,,,,,,,google_places,2026-03-06,
